iter	Passed	Remaining
0	143	143064
1	146	73326
2	148	49501
3	150	37473
4	152	30322
5	154	25571
6	156	22155
7	160	19846
8	161	17803
9	162	16123
10	163	14736
11	164	13581
12	165	12601
13	166	11758
14	168	11090
15	170	10476
16	173	10055
17	175	9552
18	175	9082
19	176	8654
20	177	8270
21	178	7919
22	178	7597
23	179	7303
24	180	7035
25	181	6785
26	182	6567
27	183	6357
28	185	6209
29	186	6041
30	187	5865
31	188	5693
32	188	5537
33	189	5390
34	190	5249
35	191	5115
36	191	4988
37	192	4867
38	192	4753
39	193	4644
40	194	4541
41	194	4442
42	195	4351
43	197	4280
44	197	4201
45	201	4168
46	202	4097
47	202	4024
48	203	3951
49	204	3882
50	205	3815
51	205	3749
52	206	3686
53	206	3625
54	207	3567
55	208	3510
56	209	3464
57	210	3418
58	211	3378
59	215	3375
60	216	3334
61	217	3288
62	218	3243
63	218	3199
64	219	3155
65	220	3113
66	220	3074
67	221	3035
68	222	2998
69	222	2960
70	224	2932
71	225	2901
72	225	2868
73	228	2861
74	230	2844
75	231	2813
76	232	2781
77	232	2749
78	233	2719
79	233	2689
80	234	2660
81	235	2632
82	235	2601
83	236	2574
84	236	2547
85	237	2522
86	238	2500
87	239	2480
88	240	2464
89	242	2448
90	243	2428
91	243	2407
92	244	2387
93	245	2365
94	246	2344
95	246	2322
96	247	2302
97	247	2281
98	248	2261
99	249	2242
100	249	2223
101	251	2212
102	252	2196
103	254	2193
104	257	2192
105	258	2177
106	259	2161
107	259	2146
108	260	2130
109	261	2113
110	261	2096
111	262	2080
112	263	2064
113	263	2049
114	264	2034
115	265	2022
116	266	2008
117	267	1999
118	269	1996
119	270	1986
120	271	1973
121	272	1959
122	272	1946
123	273	1934
124	274	1923
125	275	1911
126	276	1899
127	277	1887
128	277	1876
129	278	1865
130	280	1861
131	281	1851
132	283	1845
133	285	1846
134	286	1837
135	287	1826
136	288	1816
137	289	1805
138	289	1795
139	290	1785
140	291	1775
141	291	1763
142	292	1753
143	293	1742
144	294	1736
145	295	1727
146	296	1722
147	299	1726
148	301	1719
149	302	1712
150	302	1703
151	303	1694
152	304	1686
153	305	1678
154	306	1669
155	307	1662
156	308	1656
157	309	1651
158	310	1643
159	316	1660
160	317	1652
161	317	1644
162	318	1636
163	319	1628
164	320	1620
165	320	1612
166	321	1604
167	322	1596
168	323	1588
169	324	1585
170	325	1578
171	327	1578
172	330	1579
173	331	1573
174	332	1567
175	333	1559
176	333	1551
177	334	1543
178	334	1536
179	335	1528
180	336	1522
181	336	1514
182	338	1510
183	339	1505
184	340	1500
185	345	1514
186	346	1508
187	347	1501
188	348	1495
189	349	1488
190	349	1482
191	350	1475
192	351	1469
193	352	1463
194	353	1459
195	354	1454
196	356	1454
197	359	1456
198	360	1451
199	361	1445
200	362	1440
201	363	1434
202	364	1430
203	366	1428
204	369	1432
205	377	1454
206	378	1449
207	379	1443
208	379	1437
209	380	1432
210	381	1426
211	383	1424
212	383	1418
213	385	1416
214	389	1421
215	391	1419
216	391	1413
217	392	1407
218	393	1401
219	393	1395
220	394	1389
221	394	1383
222	395	1377
223	396	1372
224	396	1366
225	398	1364
226	399	1360
227	402	1361
228	404	1360
229	404	1355
230	405	1350
231	406	1345
232	407	1339
233	407	1334
234	408	1328
235	408	1323
236	409	1318
237	410	1312
238	410	1307
239	411	1302
240	412	1299
241	413	1294
242	416	1297
243	418	1296
244	420	1294
245	420	1289
246	421	1284
247	421	1279
248	422	1274
249	423	1269
250	423	1264
251	424	1259
252	424	1254
253	425	1249
254	426	1247
255	427	1242
256	430	1243
257	432	1244
258	433	1241
259	434	1237
260	435	1232
261	435	1227
262	436	1223
263	437	1218
264	437	1213
265	438	1209
266	438	1204
267	439	1200
268	440	1195
269	441	1194
270	442	1190
271	445	1192
272	447	1192
273	448	1188
274	449	1185
275	450	1181
276	450	1176
277	451	1172
278	452	1168
279	452	1164
280	453	1160
281	453	1155
282	454	1151
283	456	1150
284	456	1146
285	458	1144
286	461	1147
287	462	1144
288	463	1140
289	464	1137
290	465	1133
291	465	1129
292	466	1125
293	466	1121
294	467	1117
295	468	1113
296	468	1109
297	469	1105
298	470	1103
299	471	1100
300	474	1102
301	476	1102
302	477	1099
303	478	1096
304	479	1092
305	479	1088
306	480	1084
307	481	1080
308	481	1077
309	482	1073
310	482	1069
311	483	1066
312	485	1064
313	486	1061
314	488	1062
315	491	1063
316	492	1060
317	492	1057
318	493	1054
319	494	1051
320	495	1047
321	495	1044
322	496	1040
323	497	1037
324	497	1033
325	498	1030
326	500	1030
327	501	1027
328	506	1032
329	509	1033
330	510	1032
331	512	1031
332	516	1033
333	523	1044
334	525	1042
335	526	1040
336	528	1038
337	530	1039
338	538	1050
339	540	1048
340	541	1046
341	542	1043
342	544	1043
343	552	1053
344	554	1052
345	555	1050
346	557	1048
347	561	1052
348	567	1058
349	569	1057
350	571	1056
351	572	1053
352	583	1068
353	584	1066
354	586	1065
355	587	1062
356	590	1064
357	599	1074
358	600	1072
359	602	1071
360	603	1068
361	608	1072
362	616	1081
363	617	1079
364	619	1077
365	624	1082
366	629	1086
367	631	1085
368	633	1083
369	641	1092
370	648	1098
371	661	1117
372	664	1116
373	665	1113
374	667	1111
375	669	1110
376	672	1111
377	675	1111
378	678	1110
379	679	1109
380	683	1110
381	686	1110
382	687	1108
383	689	1105
384	689	1101
385	690	1098
386	692	1096
387	693	1093
388	697	1095
389	700	1096
390	704	1097
391	705	1094
392	707	1092
393	708	1089
394	712	1090
395	719	1096
396	720	1094
397	722	1092
398	723	1090
399	725	1087
400	730	1091
401	731	1088
402	733	1086
403	734	1083
404	744	1093
405	746	1092
406	748	1090
407	751	1090
408	755	1091
409	758	1092
410	762	1092
411	763	1089
412	764	1087
413	768	1087
414	771	1086
415	772	1084
416	773	1081
417	774	1077
418	775	1074
419	775	1071
420	778	1070
421	779	1067
422	780	1064
423	790	1074
424	791	1070
425	792	1068
426	794	1065
427	794	1062
428	796	1059
429	801	1062
430	802	1059
431	804	1057
432	805	1054
433	806	1051
434	808	1049
435	810	1048
436	815	1050
437	816	1047
438	817	1044
439	818	1041
440	819	1038
441	820	1035
442	820	1032
443	827	1036
444	832	1037
445	833	1035
446	834	1032
447	836	1030
448	837	1027
449	841	1028
450	847	1031
451	848	1028
452	850	1026
453	851	1023
